VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
4113, 1061, -0.49369,  15.51039,  0.64119,  0.4562,  0.5107,  0.55404, -0.70378, -0.44467
4114, 1062, -0.53492,  15.54732,  0.54453,  0.4449,  0.5106,  0.57274, -0.79878, -0.18419
4115, 1059, -0.47792,  15.55925,  0.54033,  0.4456,  0.5158,  0.35236, -0.92616, -0.13438
4116, 1063, -0.60038,  15.49792,  0.43071,  0.4317,  0.5067,  0.29246, -0.95094, -0.10086
4117, 1060, -0.57671,  15.49145,  0.38699,  0.4306,  0.511,  0.39845, -0.91696,  0.02074
4118, 1062, -0.53492,  15.54732,  0.54453,  0.4449,  0.5106,  0.57274, -0.79878, -0.18419
4119, 1007, -0.66926,  15.50492,  0.40587,  0.4261,  0.4984, -0.8488, -0.51942,  0.09871
4120, 1060, -0.57671,  15.49145,  0.38699,  0.4306,  0.511,  0.39845, -0.91696,  0.02074
4121, 1063, -0.60038,  15.49792,  0.43071,  0.4317,  0.5067,  0.29246, -0.95094, -0.10086
4122, 1064, -0.55816,  15.49584,  0.54656,  0.4438,  0.5069,  0.46615, -0.85826, -0.2147
4123, 1062, -0.53492,  15.54732,  0.54453,  0.4449,  0.5106,  0.57274, -0.79878, -0.18419
4124, 1061, -0.49369,  15.51039,  0.64119,  0.4562,  0.5107,  0.55404, -0.70378, -0.44467
4125, 1062, -0.53492,  15.54732,  0.54453,  0.4449,  0.5106,  0.57274, -0.79878, -0.18419
4126, 1064, -0.55816,  15.49584,  0.54656,  0.4438,  0.5069,  0.46615, -0.85826, -0.2147
4127, 1063, -0.60038,  15.49792,  0.43071,  0.4317,  0.5067,  0.29246, -0.95094, -0.10086
4128, 1015, -0.47965,  15.46838,  0.71691,  0.4659,  0.5069,  0.37966, -0.83035, -0.40789
4129, 1065, -0.52217,  15.48191,  0.63791,  0.4549,  0.5069,  0.44268, -0.81794, -0.36744
4130, 1061, -0.49369,  15.51039,  0.64119,  0.4562,  0.5107,  0.55404, -0.70378, -0.44467
4131, 1061, -0.49369,  15.51039,  0.64119,  0.4562,  0.5107,  0.55404, -0.70378, -0.44467
4132, 1065, -0.52217,  15.48191,  0.63791,  0.4549,  0.5069,  0.44268, -0.81794, -0.36744
4133, 1064, -0.55816,  15.49584,  0.54656,  0.4438,  0.5069,  0.46615, -0.85826, -0.2147
4134, 1013, -0.57895,  15.46986,  0.65113,  0.4535,  0.5023,  0.06041, -0.98002, -0.18949
4135, 1065, -0.52217,  15.48191,  0.63791,  0.4549,  0.5069,  0.44268, -0.81794, -0.36744
4136, 1015, -0.47965,  15.46838,  0.71691,  0.4659,  0.5069,  0.37966, -0.83035, -0.40789
4137, 1063, -0.60038,  15.49792,  0.43071,  0.4317,  0.5067,  0.29246, -0.95094, -0.10086
4138, 1066, -0.66083,  15.48694,  0.43372,  0.4295,  0.5009, -0.47821, -0.87758, -0.03422
4139, 1007, -0.66926,  15.50492,  0.40587,  0.4261,  0.4984, -0.8488, -0.51942,  0.09871
4140, 1066, -0.66083,  15.48694,  0.43372,  0.4295,  0.5009, -0.47821, -0.87758, -0.03422
4141, 1063, -0.60038,  15.49792,  0.43071,  0.4317,  0.5067,  0.29246, -0.95094, -0.10086
4142, 1064, -0.55816,  15.49584,  0.54656,  0.4438,  0.5069,  0.46615, -0.85826, -0.2147
4143, 1007, -0.66926,  15.50492,  0.40587,  0.4261,  0.4984, -0.8488, -0.51942,  0.09871
4144, 1066, -0.66083,  15.48694,  0.43372,  0.4295,  0.5009, -0.47821, -0.87758, -0.03422
4145, 1008, -0.64933,  15.48642,  0.55278,  0.4406,  0.5001, -0.60345, -0.79218,  0.09112
4146, 1067, -0.62253,  15.48677,  0.55033,  0.4415,  0.5023,  0.07186, -0.9914, -0.10934
4147, 1064, -0.55816,  15.49584,  0.54656,  0.4438,  0.5069,  0.46615, -0.85826, -0.2147
4148, 1065, -0.52217,  15.48191,  0.63791,  0.4549,  0.5069,  0.44268, -0.81794, -0.36744
4149, 1064, -0.55816,  15.49584,  0.54656,  0.4438,  0.5069,  0.46615, -0.85826, -0.2147
4150, 1067, -0.62253,  15.48677,  0.55033,  0.4415,  0.5023,  0.07186, -0.9914, -0.10934
4151, 1066, -0.66083,  15.48694,  0.43372,  0.4295,  0.5009, -0.47821, -0.87758, -0.03422
4152, 1065, -0.52217,  15.48191,  0.63791,  0.4549,  0.5069,  0.44268, -0.81794, -0.36744
4153, 1013, -0.57895,  15.46986,  0.65113,  0.4535,  0.5023,  0.06041, -0.98002, -0.18949
4154, 1067, -0.62253,  15.48677,  0.55033,  0.4415,  0.5023,  0.07186, -0.9914, -0.10934
4155, 1067, -0.62253,  15.48677,  0.55033,  0.4415,  0.5023,  0.07186, -0.9914, -0.10934
4156, 1008, -0.64933,  15.48642,  0.55278,  0.4406,  0.5001, -0.60345, -0.79218,  0.09112
4157, 1066, -0.66083,  15.48694,  0.43372,  0.4295,  0.5009, -0.47821, -0.87758, -0.03422
4158, 1008, -0.64933,  15.48642,  0.55278,  0.4406,  0.5001, -0.60345, -0.79218,  0.09112
4159, 1067, -0.62253,  15.48677,  0.55033,  0.4415,  0.5023,  0.07186, -0.9914, -0.10934
