VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
9445, 2126,  1.25896,  6.54777,  1.48263,  0.2036,  0.9398, -0.79105, -0.1281, -0.59168
9446, 2128,  1.12701,  7.66277,  1.45245,  0.2036,  0.956, -0.69808, -0.27249, -0.65625
9447, 2063, -0.49747,  8.7604,  0.46436,  0.2147,  0.956,  0.05713, -0.99778,  0.01619
9448, 2127,  1.15401,  8.70527,  0.75312,  0.21853,  0.956, -0.59125, -0.77153, -0.22088
9449, 2129,  0.06973,  8.70153,  1.53803,  0.2002,  0.956, -0.14434, -0.76196, -0.62845
9450, 2128,  1.12701,  7.66277,  1.45245,  0.2036,  0.956, -0.69808, -0.27249, -0.65625
9451, 2129,  0.06973,  8.70153,  1.53803,  0.2002,  0.956, -0.14434, -0.76196, -0.62845
9452, 2127,  1.15401,  8.70527,  0.75312,  0.21853,  0.956, -0.59125, -0.77153, -0.22088
9453, 2063, -0.49747,  8.7604,  0.46436,  0.2147,  0.956,  0.05713, -0.99778,  0.01619
9454, 2129,  0.06973,  8.70153,  1.53803,  0.2002,  0.956, -0.14434, -0.76196, -0.62845
9455, 2130, -0.68161,  8.70616,  1.46739,  0.18915,  0.956,  0.19728, -0.85338, -0.48011
9456, 2130, -0.68161,  8.70616,  1.46739,  0.18915,  0.956,  0.19728, -0.85338, -0.48011
9457, 2131, -0.79405,  8.63382,  1.59257,  0.17916,  0.956, -0.04639, -0.69343,  0.71195
