VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z, TEXCOORD3.x, TEXCOORD3.y
1520, 7572, -17.90609,  6.44504,  96.5235,  0.89304,  0.17488, -4.20891E-07,  0.17984,  0.9837,  0.86888,  0.0491
1521, 7572, -17.90609,  6.44504,  96.5235,  0.89304,  0.17488, -4.20891E-07,  0.17984,  0.9837,  0.86888,  0.0491
1522, 7573, -14.17648,  6.44504,  96.5235,  0.87257,  0.18416, -4.20891E-07,  0.17984,  0.9837,  0.86888,  0.06318
1523, 7571, -14.17648,  8.34238,  95.45917,  0.87322,  0.14805, -1.00045E-06,  0.83869,  0.54461,  0.87709,  0.06318
1524, 7573, -14.17648,  6.44504,  96.5235,  0.87257,  0.18416, -4.20891E-07,  0.17984,  0.9837,  0.86888,  0.06318
1525, 7572, -17.90609,  6.44504,  96.5235,  0.89304,  0.17488, -4.20891E-07,  0.17984,  0.9837,  0.86888,  0.0491
1526, 7574, -17.90609,  4.29004,  96.19873,  0.90529,  0.18789,  3.97041E-07, -0.57067,  0.82118,  0.86065,  0.0491
1527, 7574, -17.90609,  4.29004,  96.19873,  0.90529,  0.18789,  3.97041E-07, -0.57067,  0.82118,  0.86065,  0.0491
1528, 7575, -14.17648,  4.29004,  96.19873,  0.89702,  0.20888,  4.19320E-08, -0.57068,  0.82117,  0.86065,  0.06318
1529, 7573, -14.17648,  6.44504,  96.5235,  0.87257,  0.18416, -4.20891E-07,  0.17984,  0.9837,  0.86888,  0.06318
1530, 7575, -14.17648,  4.29004,  96.19873,  0.89702,  0.20888,  4.19320E-08, -0.57068,  0.82117,  0.86065,  0.06318
1531, 7574, -17.90609,  4.29004,  96.19873,  0.90529,  0.18789,  3.97041E-07, -0.57067,  0.82118,  0.86065,  0.0491
1532, 7576, -17.90597,  3.41208,  94.61322,  0.9205,  0.18541,  3.11665E-07, -0.98524,  0.17118,  0.85377,  0.0491
1533, 7576, -17.90597,  3.41208,  94.61322,  0.9205,  0.18541,  3.11665E-07, -0.98524,  0.17118,  0.85377,  0.0491
1534, 7577, -14.17641,  3.41208,  94.61322,  0.92894,  0.20753, -2.54981E-08, -0.98524,  0.17117,  0.85383,  0.06318
