VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
913, 233,  0.9225,  0.15345, -0.0008,  0.45787,  0.70992,  0.93519,  0.31234, -0.16691
914, 232,  0.9072,  0.13905,  0.0001,  0.48079,  0.70992,  0.22408, -0.85116,  0.47468
915, 225,  0.7973,  0.12515,  1.0822,  0.43323,  0.0209, -0.63937,  0.47058, -0.60808
916, 234,  0.8206,  0.11115,  1.0865,  0.45787,  0.0209,  0.62548,  0.29517, -0.72225
917, 233,  0.9225,  0.15345, -0.0008,  0.45787,  0.70992,  0.93519,  0.31234, -0.16691
918, 235,  0.7983,  0.09455,  1.0717,  0.48079,  0.0209, -0.69266, -0.13887, -0.70777
919, 232,  0.9072,  0.13905,  0.0001,  0.48079,  0.70992,  0.22408, -0.85116,  0.47468
920, 233,  0.9225,  0.15345, -0.0008,  0.45787,  0.70992,  0.93519,  0.31234, -0.16691
921, 233,  0.9225,  0.15345, -0.0008,  0.45787,  0.70992,  0.93519,  0.31234, -0.16691
922, 234,  0.8206,  0.11115,  1.0865,  0.45787,  0.0209,  0.62548,  0.29517, -0.72225
923, 235,  0.7983,  0.09455,  1.0717,  0.48079,  0.0209, -0.69266, -0.13887, -0.70777
924, 238, -0.8341, -0.21145, -0.2021,  0.84609,  0.72162,  0.0809, -0.71406,  0.6954
925, 237, -0.8312, -0.21825, -0.2416,  0.86836,  0.70975,  0.17746, -0.85649, -0.48469
926, 236, -0.8068, -0.20115, -0.2243,  0.84732,  0.70116,  0.97107, -0.23877, -0.00339
927, 237, -0.8312, -0.21825, -0.2416,  0.86836,  0.70975,  0.17746, -0.85649, -0.48469
928, 239, -0.8337, -0.18745, -0.2559,  0.88665,  0.69884,  0.18216,  0.13902, -0.97339
929, 236, -0.8068, -0.20115, -0.2243,  0.84732,  0.70116,  0.97107, -0.23877, -0.00339
930, 237, -0.8312, -0.21825, -0.2416,  0.86836,  0.70975,  0.17746, -0.85649, -0.48469
931, 238, -0.8341, -0.21145, -0.2021,  0.84609,  0.72162,  0.0809, -0.71406,  0.6954
932, 240, -0.8684, -0.20495, -0.234,  0.88868,  0.72327, -0.82309, -0.49825, -0.27251
933, 239, -0.8337, -0.18745, -0.2559,  0.88665,  0.69884,  0.18216,  0.13902, -0.97339
934, 237, -0.8312, -0.21825, -0.2416,  0.86836,  0.70975,  0.17746, -0.85649, -0.48469
935, 240, -0.8684, -0.20495, -0.234,  0.88868,  0.72327, -0.82309, -0.49825, -0.27251
936, 243,  0.8337, -0.18745, -0.2559,  0.88665,  0.69884, -0.18216,  0.13902, -0.97339
937, 242,  0.8312, -0.21825, -0.2416,  0.86836,  0.70975, -0.17746, -0.85649, -0.48469
938, 241,  0.8068, -0.20115, -0.2243,  0.84732,  0.70116, -0.97107, -0.23877, -0.00339
