VTX, IDX, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD0.z, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y, TEXCOORD2.z
1793, 531, -0.60905,  15.09631, -1.41678,  0.4073,  0.7251,  0.28053, -0.90676,  0.31479
1794, 532, -0.7509,  15.13547, -1.41699,  0.4069,  0.7066, -0.56537, -0.73515,  0.37405
1795, 516, -0.80283,  15.21359, -1.5952,  0.3918,  0.6889, -0.73159, -0.58173, -0.35548
1796, 528, -0.77693,  15.1376, -1.59856,  0.387,  0.6986, -0.97997, -0.08045, -0.18219
1797, 528, -0.77693,  15.1376, -1.59856,  0.387,  0.6986, -0.97997, -0.08045, -0.18219
1798, 529, -0.75199,  15.0712, -1.49915,  0.3968,  0.7086, -0.67486, -0.63824,  0.37043
1799, 532, -0.7509,  15.13547, -1.41699,  0.4069,  0.7066, -0.56537, -0.73515,  0.37405
1800, 531, -0.60905,  15.09631, -1.41678,  0.4073,  0.7251,  0.28053, -0.90676,  0.31479
1801, 532, -0.7509,  15.13547, -1.41699,  0.4069,  0.7066, -0.56537, -0.73515,  0.37405
1802, 529, -0.75199,  15.0712, -1.49915,  0.3968,  0.7086, -0.67486, -0.63824,  0.37043
1803, 532, -0.7509,  15.13547, -1.41699,  0.4069,  0.7066, -0.56537, -0.73515,  0.37405
1804, 513, -0.89596,  15.29947, -1.56673,  0.4061,  0.676,  0.13267, -0.92671, -0.35096
1805, 516, -0.80283,  15.21359, -1.5952,  0.3918,  0.6889, -0.73159, -0.58173, -0.35548
1806, 534, -0.67378,  15.18864, -1.27627,  0.4238,  0.7175, -0.16369, -0.98573, -0.03936
1807, 531, -0.60905,  15.09631, -1.41678,  0.4073,  0.7251,  0.28053, -0.90676,  0.31479
1808, 533, -0.4827,  15.18574, -1.29482,  0.4234,  0.741, -0.21113, -0.97674, -0.03734
1809, 532, -0.7509,  15.13547, -1.41699,  0.4069,  0.7066, -0.56537, -0.73515,  0.37405
1810, 531, -0.60905,  15.09631, -1.41678,  0.4073,  0.7251,  0.28053, -0.90676,  0.31479
1811, 534, -0.67378,  15.18864, -1.27627,  0.4238,  0.7175, -0.16369, -0.98573, -0.03936
1812, 535, -0.86487,  15.26904, -1.33836,  0.4226,  0.6945, -0.07623, -0.99138, -0.10655
1813, 532, -0.7509,  15.13547, -1.41699,  0.4069,  0.7066, -0.56537, -0.73515,  0.37405
1814, 534, -0.67378,  15.18864, -1.27627,  0.4238,  0.7175, -0.16369, -0.98573, -0.03936
1815, 513, -0.89596,  15.29947, -1.56673,  0.4061,  0.676,  0.13267, -0.92671, -0.35096
1816, 532, -0.7509,  15.13547, -1.41699,  0.4069,  0.7066, -0.56537, -0.73515,  0.37405
1817, 535, -0.86487,  15.26904, -1.33836,  0.4226,  0.6945, -0.07623, -0.99138, -0.10655
1818, 535, -0.86487,  15.26904, -1.33836,  0.4226,  0.6945, -0.07623, -0.99138, -0.10655
1819, 515, -0.99315,  15.18064, -1.48519,  0.4264,  0.6712,  0.34814, -0.78083, -0.51876
1820, 513, -0.89596,  15.29947, -1.56673,  0.4061,  0.676,  0.13267, -0.92671, -0.35096
1821, 535, -0.86487,  15.26904, -1.33836,  0.4226,  0.6945, -0.07623, -0.99138, -0.10655
1822, 537, -1.18909,  15.21838, -1.18519,  0.465,  0.6935, -0.01185, -0.98986, -0.13988
1823, 536, -1.14823,  15.13955, -1.25034,  0.4606,  0.6829, -0.16238, -0.49771,  0.85199
1824, 535, -0.86487,  15.26904, -1.33836,  0.4226,  0.6945, -0.07623, -0.99138, -0.10655
1825, 538, -0.98531,  15.1526, -1.33193,  0.4383,  0.6829,  0.65008, -0.65446,  0.3861
1826, 515, -0.99315,  15.18064, -1.48519,  0.4264,  0.6712,  0.34814, -0.78083, -0.51876
1827, 536, -1.14823,  15.13955, -1.25034,  0.4606,  0.6829, -0.16238, -0.49771,  0.85199
1828, 538, -0.98531,  15.1526, -1.33193,  0.4383,  0.6829,  0.65008, -0.65446,  0.3861
1829, 535, -0.86487,  15.26904, -1.33836,  0.4226,  0.6945, -0.07623, -0.99138, -0.10655
